overs,0,1,2,3,4,5,6,7,8,9,10
400,100,85,70,55,40,30,20,15,10,5,0
399,100,85,70,55,40,30,20,15,10,5,0
398,100,85,70,55,40,30,20,15,10,5,0
397,100,85,70,55,40,30,20,15,10,5,0
396,100,85,70,55,40,30,20,15,10,5,0
395,100,85,70,55,40,30,20,15,10,5,0
394,100,85,70,55,40,30,20,15,10,5,0
393,100,85,70,55,40,30,20,15,10,5,0
392,100,85,70,55,40,30,20,15,10,5,0
391,100,85,70,55,40,30,20,15,10,5,0
390,100,85,70,55,40,30,20,15,10,5,0
389,100,85,70,55,40,30,20,15,10,5,0
388,100,85,70,55,40,30,20,15,10,5,0
387,100,85,70,55,40,30,20,15,10,5,0
386,100,85,70,55,40,30,20,15,10,5,0
385,100,85,70,55,40,30,20,15,10,5,0
384,100,85,70,55,40,30,20,15,10,5,0
383,100,85,70,55,40,30,20,15,10,5,0
382,100,85,70,55,40,30,20,15,10,5,0
381,100,85,70,55,40,30,20,15,10,5,0
380,100,85,70,55,40,30,20,15,10,5,0
379,100,85,70,55,40,30,20,15,10,5,0
378,100,85,70,55,40,30,20,15,10,5,0
377,100,85,70,55,40,30,20,15,10,5,0
376,100,85,70,55,40,30,20,15,10,5,0
375,100,85,70,55,40,30,20,15,10,5,0
374,100,85,70,55,40,30,20,15,10,5,0
373,100,85,70,55,40,30,20,15,10,5,0
372,100,85,70,55,40,30,20,15,10,5,0
371,100,85,70,55,40,30,20,15,10,5,0
370,100,85,70,55,40,30,20,15,10,5,0
369,100,85,70,55,40,30,20,15,10,5,0
368,100,85,70,55,40,30,20,15,10,5,0
367,100,85,70,55,40,30,20,15,10,5,0
366,100,85,70,55,40,30,20,15,10,5,0
365,100,85,70,55,40,30,20,15,10,5,0
364,100,85,70,55,40,30,20,15,10,5,0
363,100,85,70,55,40,30,20,15,10,5,0
362,100,85,70,55,40,30,20,15,10,5,0
361,100,85,70,55,40,30,20,15,10,5,0
360,100,85,70,55,40,30,20,15,10,5,0
359,100,85,70,55,40,30,20,15,10,5,0
358,100,85,70,55,40,30,20,15,10,5,0
357,100,85,70,55,40,30,20,15,10,5,0
356,100,85,70,55,40,30,20,15,10,5,0
355,100,85,70,55,40,30,20,15,10,5,0
354,100,85,70,55,40,30,20,15,10,5,0
353,100,85,70,55,40,30,20,15,10,5,0
352,100,85,70,55,40,30,20,15,10,5,0
351,100,85,70,55,40,30,20,15,10,5,0
350,100,85,70,55,40,30,20,15,10,5,0
349,100,85,70,55,40,30,20,15,10,5,0
348,100,85,70,55,40,30,20,15,10,5,0
347,100,85,70,55,40,30,20,15,10,5,0
346,100,85,70,55,40,30,20,15,10,5,0
345,100,85,70,55,40,30,20,15,10,5,0
344,100,85,70,55,40,30,20,15,10,5,0
343,100,85,70,55,40,30,20,15,10,5,0
342,100,85,70,55,40,30,20,15,10,5,0
341,100,85,70,55,40,30,20,15,10,5,0
340,100,85,70,55,40,30,20,15,10,5,0
339,100,85,70,55,40,30,20,15,10,5,0
338,100,85,70,55,40,30,20,15,10,5,0
337,100,85,70,55,40,30,20,15,10,5,0
336,100,85,70,55,40,30,20,15,10,5,0
335,100,85,70,55,40,30,20,15,10,5,0
334,100,85,70,55,40,30,20,15,10,5,0
333,100,85,70,55,40,30,20,15,10,5,0
332,100,85,70,55,40,30,20,15,10,5,0
331,100,85,70,55,40,30,20,15,10,5,0
330,100,85,70,55,40,30,20,15,10,5,0
329,100,85,70,55,40,30,20,15,10,5,0
328,100,85,70,55,40,30,20,15,10,5,0
327,100,85,70,55,40,30,20,15,10,5,0
326,100,85,70,55,40,30,20,15,10,5,0
325,100,85,70,55,40,30,20,15,10,5,0
324,100,85,70,55,40,30,20,15,10,5,0
323,100,85,70,55,40,30,20,15,10,5,0
322,100,85,70,55,40,30,20,15,10,5,0
321,100,85,70,55,40,30,20,15,10,5,0
320,100,85,70,55,40,30,20,15,10,5,0
319,100,85,70,55,40,30,20,15,10,5,0
318,100,85,70,55,40,30,20,15,10,5,0
317,100,85,70,55,40,30,20,15,10,5,0
316,100,85,70,55,40,30,20,15,10,5,0
315,100,85,70,55,40,30,20,15,10,5,0
314,100,85,70,55,40,30,20,15,10,5,0
313,100,85,70,55,40,30,20,15,10,5,0
312,100,85,70,55,40,30,20,15,10,5,0
311,100,85,70,55,40,30,20,15,10,5,0
310,100,85,70,55,40,30,20,15,10,5,0
309,100,85,70,55,40,30,20,15,10,5,0
308,100,85,70,55,40,30,20,15,10,5,0
307,100,85,70,55,40,30,20,15,10,5,0
306,100,85,70,55,40,30,20,15,10,5,0
305,100,85,70,55,40,30,20,15,10,5,0
304,100,85,70,55,40,30,20,15,10,5,0
303,100,85,70,55,40,30,20,15,10,5,0
302,100,85,70,55,40,30,20,15,10,5,0
301,100,85,70,55,40,30,20,15,10,5,0
300,100,85,70,55,40,30,20,15,10,5,0
299,100,85,70,55,40,30,20,15,10,5,0
298,100,85,70,55,40,30,20,15,10,5,0
297,100,85,70,55,40,30,20,15,10,5,0
296,100,85,70,55,40,30,20,15,10,5,0
295,100,85,70,55,40,30,20,15,10,5,0
294,100,85,70,55,40,30,20,15,10,5,0
293,100,85,70,55,40,30,20,15,10,5,0
292,100,85,70,55,40,30,20,15,10,5,0
291,100,85,70,55,40,30,20,15,10,5,0
290,100,85,70,55,40,30,20,15,10,5,0
289,100,85,70,55,40,30,20,15,10,5,0
288,100,85,70,55,40,30,20,15,10,5,0
287,100,85,70,55,40,30,20,15,10,5,0
286,100,85,70,55,40,30,20,15,10,5,0
285,100,85,70,55,40,30,20,15,10,5,0
284,100,85,70,55,40,30,20,15,10,5,0
283,100,85,70,55,40,30,20,15,10,5,0
282,100,85,70,55,40,30,20,15,10,5,0
281,100,85,70,55,40,30,20,15,10,5,0
280,100,85,70,55,40,30,20,15,10,5,0
279,100,85,70,55,40,30,20,15,10,5,0
278,100,85,70,55,40,30,20,15,10,5,0
277,100,85,70,55,40,30,20,15,10,5,0
276,100,85,70,55,40,30,20,15,10,5,0
275,100,85,70,55,40,30,20,15,10,5,0
274,100,85,70,55,40,30,20,15,10,5,0
273,100,85,70,55,40,30,20,15,10,5,0
272,100,85,70,55,40,30,20,15,10,5,0
271,100,85,70,55,40,30,20,15,10,5,0
270,100,85,70,55,40,30,20,15,10,5,0
269,100,85,70,55,40,30,20,15,10,5,0
268,100,85,70,55,40,30,20,15,10,5,0
267,100,85,70,55,40,30,20,15,10,5,0
266,100,85,70,55,40,30,20,15,10,5,0
265,100,85,70,55,40,30,20,15,10,5,0
264,100,85,70,55,40,30,20,15,10,5,0
263,100,85,70,55,40,30,20,15,10,5,0
262,100,85,70,55,40,30,20,15,10,5,0
261,100,85,70,55,40,30,20,15,10,5,0
260,100,85,70,55,40,30,20,15,10,5,0
259,100,85,70,55,40,30,20,15,10,5,0
258,100,85,70,55,40,30,20,15,10,5,0
257,100,85,70,55,40,30,20,15,10,5,0
256,100,85,70,55,40,30,20,15,10,5,0
255,100,85,70,55,40,30,20,15,10,5,0
254,100,85,70,55,40,30,20,15,10,5,0
253,100,85,70,55,40,30,20,15,10,5,0
252,100,85,70,55,40,30,20,15,10,5,0
251,100,85,70,55,40,30,20,15,10,5,0
250,100,85,70,55,40,30,20,15,10,5,0
249,100,85,70,55,40,30,20,15,10,5,0
248,100,85,70,55,40,30,20,15,10,5,0
247,100,85,70,55,40,30,20,15,10,5,0
246,100,85,70,55,40,30,20,15,10,5,0
245,100,85,70,55,40,30,20,15,10,5,0
244,100,85,70,55,40,30,20,15,10,5,0
243,100,85,70,55,40,30,20,15,10,5,0
242,100,85,70,55,40,30,20,15,10,5,0
241,100,85,70,55,40,30,20,15,10,5,0
240,100,85,70,55,40,30,20,15,10,5,0
239,100,85,70,55,40,30,20,15,10,5,0
238,100,85,70,55,40,30,20,15,10,5,0
237,100,85,70,55,40,30,20,15,10,5,0
236,100,85,70,55,40,30,20,15,10,5,0
235,100,85,70,55,40,30,20,15,10,5,0
234,100,85,70,55,40,30,20,15,10,5,0
233,100,85,70,55,40,30,20,15,10,5,0
232,100,85,70,55,40,30,20,15,10,5,0
231,100,85,70,55,40,30,20,15,10,5,0
230,100,85,70,55,40,30,20,15,10,5,0
229,100,85,70,55,40,30,20,15,10,5,0
228,100,85,70,55,40,30,20,15,10,5,0
227,100,85,70,55,40,30,20,15,10,5,0
226,100,85,70,55,40,30,20,15,10,5,0
225,100,85,70,55,40,30,20,15,10,5,0
224,100,85,70,55,40,30,20,15,10,5,0
223,100,85,70,55,40,30,20,15,10,5,0
222,100,85,70,55,40,30,20,15,10,5,0
221,100,85,70,55,40,30,20,15,10,5,0
220,100,85,70,55,40,30,20,15,10,5,0
219,100,85,70,55,40,30,20,15,10,5,0
218,100,85,70,55,40,30,20,15,10,5,0
217,100,85,70,55,40,30,20,15,10,5,0
216,100,85,70,55,40,30,20,15,10,5,0
215,100,85,70,55,40,30,20,15,10,5,0
214,100,85,70,55,40,30,20,15,10,5,0
213,100,85,70,55,40,30,20,15,10,5,0
212,100,85,70,55,40,30,20,15,10,5,0
211,100,85,70,55,40,30,20,15,10,5,0
210,100,85,70,55,40,30,20,15,10,5,0
209,100,85,70,55,40,30,20,15,10,5,0
208,100,85,70,55,40,30,20,15,10,5,0
207,100,85,70,55,40,30,20,15,10,5,0
206,100,85,70,55,40,30,20,15,10,5,0
205,100,85,70,55,40,30,20,15,10,5,0
204,100,85,70,55,40,30,20,15,10,5,0
203,100,85,70,55,40,30,20,15,10,5,0
202,100,85,70,55,40,30,20,15,10,5,0
201,100,85,70,55,40,30,20,15,10,5,0
200,100,85,70,55,40,30,20,15,10,5,0
199,100,85,70,55,40,30,20,15,10,5,0
198,100,85,70,55,40,30,20,15,10,5,0
197,100,85,70,55,40,30,20,15,10,5,0
196,100,85,70,55,40,30,20,15,10,5,0
195,100,85,70,55,40,30,20,15,10,5,0
194,100,85,70,55,40,30,20,15,10,5,0
193,100,85,70,55,40,30,20,15,10,5,0
192,100,85,70,55,40,30,20,15,10,5,0
191,100,85,70,55,40,30,20,15,10,5,0
190,100,85,70,55,40,30,20,15,10,5,0
189,100,85,70,55,40,30,20,15,10,5,0
188,100,85,70,55,40,30,20,15,10,5,0
187,100,85,70,55,40,30,20,15,10,5,0
186,100,85,70,55,40,30,20,15,10,5,0
185,100,85,70,55,40,30,20,15,10,5,0
184,100,85,70,55,40,30,20,15,10,5,0
183,100,85,70,55,40,30,20,15,10,5,0
182,100,85,70,55,40,30,20,15,10,5,0
181,100,85,70,55,40,30,20,15,10,5,0
180,100,85,70,55,40,30,20,15,10,5,0
179,100,85,70,55,40,30,20,15,10,5,0
178,100,85,70,55,40,30,20,15,10,5,0
177,100,85,70,55,40,30,20,15,10,5,0
176,100,85,70,55,40,30,20,15,10,5,0
175,100,85,70,55,40,30,20,15,10,5,0
174,100,85,70,55,40,30,20,15,10,5,0
173,100,85,70,55,40,30,20,15,10,5,0
172,100,85,70,55,40,30,20,15,10,5,0
171,100,85,70,55,40,30,20,15,10,5,0
170,100,85,70,55,40,30,20,15,10,5,0
169,100,85,70,55,40,30,20,15,10,5,0
168,100,85,70,55,40,30,20,15,10,5,0
167,100,85,70,55,40,30,20,15,10,5,0
166,100,85,70,55,40,30,20,15,10,5,0
165,100,85,70,55,40,30,20,15,10,5,0
164,100,85,70,55,40,30,20,15,10,5,0
163,100,85,70,55,40,30,20,15,10,5,0
162,100,85,70,55,40,30,20,15,10,5,0
161,100,85,70,55,40,30,20,15,10,5,0
160,100,85,70,55,40,30,20,15,10,5,0
159,100,85,70,55,40,30,20,15,10,5,0
158,100,85,70,55,40,30,20,15,10,5,0
157,100,85,70,55,40,30,20,15,10,5,0
156,100,85,70,55,40,30,20,15,10,5,0
155,100,85,70,55,40,30,20,15,10,5,0
154,100,85,70,55,40,30,20,15,10,5,0
153,100,85,70,55,40,30,20,15,10,5,0
152,100,85,70,55,40,30,20,15,10,5,0
151,100,85,70,55,40,30,20,15,10,5,0
150,100,85,70,55,40,30,20,15,10,5,0
149,100,85,70,55,40,30,20,15,10,5,0
148,100,85,70,55,40,30,20,15,10,5,0
147,100,85,70,55,40,30,20,15,10,5,0
146,100,85,70,55,40,30,20,15,10,5,0
145,100,85,70,55,40,30,20,15,10,5,0
144,100,85,70,55,40,30,20,15,10,5,0
143,100,85,70,55,40,30,20,15,10,5,0
142,100,85,70,55,40,30,20,15,10,5,0
141,100,85,70,55,40,30,20,15,10,5,0
140,100,85,70,55,40,30,20,15,10,5,0
139,100,85,70,55,40,30,20,15,10,5,0
138,100,85,70,55,40,30,20,15,10,5,0
137,100,85,70,55,40,30,20,15,10,5,0
136,100,85,70,55,40,30,20,15,10,5,0
135,100,85,70,55,40,30,20,15,10,5,0
134,100,85,70,55,40,30,20,15,10,5,0
133,100,85,70,55,40,30,20,15,10,5,0
132,100,85,70,55,40,30,20,15,10,5,0
131,100,85,70,55,40,30,20,15,10,5,0
130,100,85,70,55,40,30,20,15,10,5,0
129,100,85,70,55,40,30,20,15,10,5,0
128,100,85,70,55,40,30,20,15,10,5,0
127,100,85,70,55,40,30,20,15,10,5,0
126,100,85,70,55,40,30,20,15,10,5,0
125,100,85,70,55,40,30,20,15,10,5,0
124,100,85,70,55,40,30,20,15,10,5,0
123,100,85,70,55,40,30,20,15,10,5,0
122,100,85,70,55,40,30,20,15,10,5,0
121,100,85,70,55,40,30,20,15,10,5,0
120,100,85,70,55,40,30,20,15,10,5,0
119,100,85,70,55,40,30,20,15,10,5,0
118,100,85,70,55,40,30,20,15,10,5,0
117,100,85,70,55,40,30,20,15,10,5,0
116,100,85,70,55,40,30,20,15,10,5,0
115,100,85,70,55,40,30,20,15,10,5,0
114,100,85,70,55,40,30,20,15,10,5,0
113,100,85,70,55,40,30,20,15,10,5,0
112,100,85,70,55,40,30,20,15,10,5,0
111,100,85,70,55,40,30,20,15,10,5,0
110,100,85,70,55,40,30,20,15,10,5,0
109,100,85,70,55,40,30,20,15,10,5,0
108,100,85,70,55,40,30,20,15,10,5,0
107,100,85,70,55,40,30,20,15,10,5,0
106,100,85,70,55,40,30,20,15,10,5,0
105,100,85,70,55,40,30,20,15,10,5,0
104,100,85,70,55,40,30,20,15,10,5,0
103,100,85,70,55,40,30,20,15,10,5,0
102,100,85,70,55,40,30,20,15,10,5,0
101,100,85,70,55,40,30,20,15,10,5,0
100,100,85,70,55,40,30,20,15,10,5,0
99,100,85,70,55,40,30,20,15,10,5,0
98,100,85,70,55,40,30,20,15,10,5,0
97,100,85,70,55,40,30,20,15,10,5,0
96,100,85,70,55,40,30,20,15,10,5,0
95,100,85,70,55,40,30,20,15,10,5,0
94,100,85,70,55,40,30,20,15,10,5,0
93,100,85,70,55,40,30,20,15,10,5,0
92,100,85,70,55,40,30,20,15,10,5,0
91,100,85,70,55,40,30,20,15,10,5,0
90,100,85,70,55,40,30,20,15,10,5,0
89,100,85,70,55,40,30,20,15,10,5,0
88,100,85,70,55,40,30,20,15,10,5,0
87,100,85,70,55,40,30,20,15,10,5,0
86,100,85,70,55,40,30,20,15,10,5,0
85,100,85,70,55,40,30,20,15,10,5,0
84,100,85,70,55,40,30,20,15,10,5,0
83,100,85,70,55,40,30,20,15,10,5,0
82,100,85,70,55,40,30,20,15,10,5,0
81,100,85,70,55,40,30,20,15,10,5,0
80,100,85,70,55,40,30,20,15,10,5,0
79,100,85,70,55,40,30,20,15,10,5,0
78,100,85,70,55,40,30,20,15,10,5,0
77,100,85,70,55,40,30,20,15,10,5,0
76,100,85,70,55,40,30,20,15,10,5,0
75,100,85,70,55,40,30,20,15,10,5,0
74,100,85,70,55,40,30,20,15,10,5,0
73,100,85,70,55,40,30,20,15,10,5,0
72,100,85,70,55,40,30,20,15,10,5,0
71,100,85,70,55,40,30,20,15,10,5,0
70,100,85,70,55,40,30,20,15,10,5,0
69,100,85,70,55,40,30,20,15,10,5,0
68,100,85,70,55,40,30,20,15,10,5,0
67,100,85,70,55,40,30,20,15,10,5,0
66,100,85,70,55,40,30,20,15,10,5,0
65,100,85,70,55,40,30,20,15,10,5,0
64,100,85,70,55,40,30,20,15,10,5,0
63,100,85,70,55,40,30,20,15,10,5,0
62,100,85,70,55,40,30,20,15,10,5,0
61,100,85,70,55,40,30,20,15,10,5,0
60,100,85,70,55,40,30,20,15,10,5,0
59,100,85,70,55,40,30,20,15,10,5,0
58,100,85,70,55,40,30,20,15,10,5,0
57,100,85,70,55,40,30,20,15,10,5,0
56,100,85,70,55,40,30,20,15,10,5,0
55,100,85,70,55,40,30,20,15,10,5,0
54,100,85,70,55,40,30,20,15,10,5,0
53,100,85,70,55,40,30,20,15,10,5,0
52,100,85,70,55,40,30,20,15,10,5,0
51,100,85,70,55,40,30,20,15,10,5,0
50,100,85,70,55,40,30,20,15,10,5,0
49,100,85,70,55,40,30,20,15,10,5,0
48,100,85,70,55,40,30,20,15,10,5,0
47,100,85,70,55,40,30,20,15,10,5,0
46,100,85,70,55,40,30,20,15,10,5,0
45,100,85,70,55,40,30,20,15,10,5,0
44,100,85,70,55,40,30,20,15,10,5,0
43,100,85,70,55,40,30,20,15,10,5,0
42,100,85,70,55,40,30,20,15,10,5,0
41,100,85,70,55,40,30,20,15,10,5,0
40,100,85,70,55,40,30,20,15,10,5,0
39,100,85,70,55,40,30,20,15,10,5,0
38,100,85,70,55,40,30,20,15,10,5,0
37,100,85,70,55,40,30,20,15,10,5,0
36,100,85,70,55,40,30,20,15,10,5,0
35,100,85,70,55,40,30,20,15,10,5,0
34,100,85,70,55,40,30,20,15,10,5,0
33,100,85,70,55,40,30,20,15,10,5,0
32,100,85,70,55,40,30,20,15,10,5,0
31,100,85,70,55,40,30,20,15,10,5,0
30,100,85,70,55,40,30,20,15,10,5,0
29,100,85,70,55,40,30,20,15,10,5,0
28,100,85,70,55,40,30,20,15,10,5,0
27,100,85,70,55,40,30,20,15,10,5,0
26,100,85,70,55,40,30,20,15,10,5,0
25,100,85,70,55,40,30,20,15,10,5,0
24,100,85,70,55,40,30,20,15,10,5,0
23,100,85,70,55,40,30,20,15,10,5,0
22,100,85,70,55,40,30,20,15,10,5,0
21,100,85,70,55,40,30,20,15,10,5,0
20,100,85,70,55,40,30,20,15,10,5,0
19,100,85,70,55,40,30,20,15,10,5,0
18,100,85,70,55,40,30,20,15,10,5,0
17,100,85,70,55,40,30,20,15,10,5,0
16,100,85,70,55,40,30,20,15,10,5,0
15,100,85,70,55,40,30,20,15,10,5,0
14,100,85,70,55,40,30,20,15,10,5,0
13,100,85,70,55,40,30,20,15,10,5,0
12,100,85,70,55,40,30,20,15,10,5,0
11,100,85,70,55,40,30,20,15,10,5,0
10,100,85,70,55,40,30,20,15,10,5,0
9,100,85,70,55,40,30,20,15,10,5,0
8,100,85,70,55,40,30,20,15,10,5,0
7,100,85,70,55,40,30,20,15,10,5,0
6,100,85,70,55,40,30,20,15,10,5,0
5,100,85,70,55,40,30,20,15,10,5,0
4,100,85,70,55,40,30,20,15,10,5,0
3,100,85,70,55,40,30,20,15,10,5,0
2,100,85,70,55,40,30,20,15,10,5,0
1,100,85,70,55,40,30,20,15,10,5,0
0,100,85,70,55,40,30,20,15,10,5,0
